name,_id,run_start_time,run_end_time,status,status_message,chg_sp,chiller_limit,loop_sp,storage_capacity,installed_cost_us_dollars_per_kw,installed_cost_us_dollars_per_kwh,electricity_kwh,not_met_during_occupied_heating,year_one_energy_cost_us_dollars,size_kw,not_met_during_occupied_hours,natural_gas_kwh,not_met_during_occupied_cooling,size_kwh,year_one_bill_us_dollars,PMV,year_one_demand_cost_us_dollars,water_qbft
API Generated 2021-06-11 01:35:34 +0000,5b72861f-8332-4837-aa18-cc10543062d4,2021-06-11T01:51:27.388Z,2021-06-11T02:06:08.008Z,completed,completed normal,28.12137794,0.405758826,44.60288088,25350.71135,437.6538248,762.4865474,19663336.11,766,1874113.34,686.7970144,2104,26225772.22,1338,3409.780821,2962790.96,1338,1081477.62,120572.73
API Generated 2021-06-10 20:48:13 +0000,dac50338-215c-4f79-a610-2e607560920c,2021-06-10T21:04:40.931Z,2021-06-10T21:20:17.192Z,completed,completed normal,21.54906775,0.37418468,43.34921571,36272.51911,794.2494853,213.0599279,19667030.56,766,1840344.22,1273.861924,2091,26219661.11,1325,9773.206244,2743109.27,1335,895565.05,121051.62
API Generated 2021-06-11 05:12:30 +0000,141176ef-08a7-4b0f-be46-daa52dcd31b1,2021-06-11T05:57:37.592Z,2021-06-11T06:13:06.662Z,completed,completed normal,20.36779593,0.390621967,49.84647983,39477.68609,1130.477349,826.9492891,20438916.67,764,1974557.88,537.0675367,2144,26196363.89,1380,1982.582242,3226442.18,1336,1244684.3,127478.92
API Generated 2021-06-11 01:51:13 +0000,cdb82bc3-849d-4d0c-a3b9-70c7fb082293,2021-06-11T02:35:48.641Z,2021-06-11T02:50:46.331Z,completed,completed normal,21.76655602,0.61766436,48.35076545,34482.13676,1660.476492,795.0713244,20428597.22,762,2007296.77,353.3270092,2115,26177083.33,1353,1009.094387,3331273.2,1344,1316776.43,127199.95
API Generated 2021-06-11 09:16:38 +0000,6eeec543-3085-4e9c-80ee-4fb6608ab053,2021-06-11T09:47:19.487Z,2021-06-11T10:02:20.680Z,completed,completed normal,28.17092861,0.536036316,49.56404793,30895.30681,697.9765864,206.9489636,20228594.44,765,1776259.36,1613.118819,2129,26201305.56,1364,13304.57574,2674862,1339,891402.64,124938.54
API Generated 2021-06-11 01:35:34 +0000,c86a8665-be52-4ef8-bfae-d2dff8902cac,2021-06-11T02:22:31.648Z,2021-06-11T02:37:35.521Z,completed,completed normal,24.86755021,0.994526619,49.90862889,26843.86532,1643.196197,837.2155751,20333805.56,764,1998560.73,368.7425802,2139,26193513.89,1375,995.0817391,3314494.38,1337,1308733.64,126302.44
API Generated 2021-06-11 01:51:34 +0000,d5bd2195-ea1f-44ae-807f-b4d307110e36,2021-06-11T02:36:15.185Z,2021-06-11T02:50:29.536Z,completed,completed normal,25.06270607,0.984400737,40.68083452,11072.65223,587.2570775,205.7682717,19558819.44,765,1820613.92,1614.532125,2097,26240755.56,1332,11972.08809,2700098.37,1336,872284.45,119815.76
API Generated 2021-06-11 05:12:40 +0000,2b4bcf64-abc7-4f66-96ca-69a438c99e43,2021-06-11T05:57:41.651Z,2021-06-11T06:12:56.670Z,completed,completed normal,21.66635118,0.426399754,46.61423309,29802.30973,1581.56804,794.9527881,20227161.11,761,1973215.83,430.6288643,2114,26199680.56,1353,1591.644927,3208434.54,1342,1228018.7,126277.15
API Generated 2021-06-11 00:03:52 +0000,8962dd0f-8c9f-4c1c-b888-3b8145eda006,2021-06-11T00:35:20.906Z,2021-06-11T00:49:56.054Z,completed,completed normal,28.83156108,0.923157507,42.14458422,20518.91236,519.4845103,214.1805209,19637947.22,763,1834225.52,1410.303568,2096,26244355.56,1333,11468.23071,2728135.03,1340,886709.5,119567.78
API Generated 2021-06-11 07:45:31 +0000,d0e87e56-a7f6-47a2-8fad-01694e0bae29,2021-06-11T08:01:20.918Z,2021-06-11T08:16:48.133Z,completed,completed normal,20.21353026,0.596786136,49.79020957,7822.343469,442.9686891,208.3082407,20434194.44,765,1809450.89,1814.141912,2132,26193427.78,1367,14353.53853,2703190.56,1342,886539.67,127460.12
