chg_sp,chiller_limit,loop_sp,storage_capacity,installed_cost_us_dollars_per_kw,installed_cost_us_dollars_per_kwh,electricity_kwh,year_one_energy_cost_us_dollars,size_kw,natural_gas_kwh,not_met_during_occupied_cooling,size_kwh,year_one_bill_us_dollars,year_one_demand_cost_us_dollars
28.12137794,0.405758826,44.60288088,25350.71135,437.6538248,762.4865474,19663336.11,1874113.34,686.7970144,26225772.22,1338,3409.780821,2962790.96,1081477.62
21.54906775,0.37418468,43.34921571,36272.51911,794.2494853,213.0599279,19667030.56,1840344.22,1273.861924,26219661.11,1325,9773.206244,2743109.27,895565.05
20.36779593,0.390621967,49.84647983,39477.68609,1130.477349,826.9492891,20438916.67,1974557.88,537.0675367,26196363.89,1380,1982.582242,3226442.18,1244684.3
21.76655602,0.61766436,48.35076545,34482.13676,1660.476492,795.0713244,20428597.22,2007296.77,353.3270092,26177083.33,1353,1009.094387,3331273.2,1316776.43
28.17092861,0.536036316,49.56404793,30895.30681,697.9765864,206.9489636,20228594.44,1776259.36,1613.118819,26201305.56,1364,13304.57574,2674862,891402.64
24.86755021,0.994526619,49.90862889,26843.86532,1643.196197,837.2155751,20333805.56,1998560.73,368.7425802,26193513.89,1375,995.0817391,3314494.38,1308733.64
25.06270607,0.984400737,40.68083452,11072.65223,587.2570775,205.7682717,19558819.44,1820613.92,1614.532125,26240755.56,1332,11972.08809,2700098.37,872284.45
21.66635118,0.426399754,46.61423309,29802.30973,1581.56804,794.9527881,20227161.11,1973215.83,430.6288643,26199680.56,1353,1591.644927,3208434.54,1228018.7
28.83156108,0.923157507,42.14458422,20518.91236,519.4845103,214.1805209,19637947.22,1834225.52,1410.303568,26244355.56,1333,11468.23071,2728135.03,886709.5
20.21353026,0.596786136,49.79020957,7822.343469,442.9686891,208.3082407,20434194.44,1809450.89,1814.141912,26193427.78,1367,14353.53853,2703190.56,886539.67
20.39638013,0.152316189,41.21663587,30126.89782,506.5839261,236.6434219,19638597.22,1815234.27,1447.594499,26249705.56,1316,10768.64415,2676194.9,853760.62
29.87330671,0.148687308,40.71142292,5884.698484,789.7403233,291.0401407,20065686.11,1789068.89,1239.201412,26234294.44,1554,8946.881163,2759402.62,963133.73
27.07488441,0.619672519,43.92546322,8126.388943,428.0691917,318.4947209,19570602.78,1761833.01,1295.754119,26214283.33,1346,9332.99216,2671449.43,902416.43
20.21894603,0.430220617,48.91069442,12374.97352,478.5366555,203.81118,20455125,1806696.94,1740.61222,26197627.78,1374,13906.10605,2704583.04,890686.1
