name,_id,run_start_time,run_end_time,status,status_message,chg_sp,chiller_limit,loop_sp,storage_capacity,installed_cost_us_dollars_per_kw,installed_cost_us_dollars_per_kwh,comfort_result_time_setpoint_not_met_during_occupied_hours,size_kw,year_one_energy_cost_us_dollars,comfort_result_hours_out_of_comfort_bounds_PMV,year_one_bill_us_dollars,electricity_produced_kwh,water_qbft,size_kwh,natural_gas_kwh,electricity_kwh,comfort_result_time_setpoint_not_met_during_occupied_cooling,comfort_result_time_setpoint_not_met_during_occupied_heating
API Generated 2021-06-08 23:38:07 +0000,de4ca1f9-0051-4e21-ac9e-226cbcc0a524,2021-06-09T00:29:30.768Z,2021-06-09T00:44:02.712Z,completed,completed normal,26.22789664,0.865834283,47.36254323,4409.992614,1362.67969,782.147378,2120,438.0976399,1971483.06,1341,3242052.92,20318334.44,125680.26,1501.595942,26190497.22,20318333.33,1358,762
API Generated 2021-06-08 21:41:53 +0000,6023daf8-8f19-4780-bef0-3be00b71bdaf,2021-06-08T22:13:27.134Z,2021-06-08T22:28:38.440Z,completed,completed normal,20.85679427,0.608038676,41.40681027,4177.161728,1178.655444,582.2901576,2095,686.805053,1882563.93,1337,3018019.29,19845466.94,123041.31,3547.691641,26241930.56,19845466.67,1331,764
API Generated 2021-06-09 00:58:20 +0000,236cb803-c213-4b2b-966b-96adad203747,2021-06-09T00:58:23.142Z,2021-06-09T01:15:10.016Z,completed,completed normal,26.17165534,0.829458707,48.497141,7008.202454,496.5555457,334.1116094,2132,1402.214518,1754330.39,1342,2683350.43,20308171.67,125753.39,10469.54849,26188758.33,20308169.44,1366,766
API Generated 2021-06-08 21:58:28 +0000,e78e840c-37f2-41c5-8b4e-72f30093380e,2021-06-08T22:58:34.969Z,2021-06-08T23:19:14.756Z,completed,completed normal,26.48302267,0.266117802,46.45977984,1212.701208,1548.39116,564.7897939,2264,698.3741885,1882508.44,1536,3082342.15,19998526.11,123751.79,3626.59772,26204700,19998525,1499,765
API Generated 2021-06-09 01:15:20 +0000,966fe3ae-9931-42d9-9f1e-2bbb5c2b5911,2021-06-09T01:59:48.692Z,2021-06-09T02:14:23.219Z,completed,completed normal,27.11541941,0.608531766,42.07482755,5637.026555,982.2358587,695.4834344,2083,612.4027801,1890524.07,1340,3044473.94,19618553.61,120909.79,2945.974024,26233038.89,19618555.56,1319,764
API Generated 2021-06-09 08:36:33 +0000,0f3d90d5-5f35-4715-985c-6340efc07701,2021-06-09T09:08:36.991Z,2021-06-09T09:23:53.004Z,completed,completed normal,24.48810346,0.978725559,48.91095938,6102.581271,1635.189963,837.2155751,2124,397.027674,1992507.35,1338,3295442.71,20360855.83,126525.62,1159.985191,26194991.67,20360855.56,1361,763
API Generated 2021-06-09 10:09:00 +0000,dbee615a-6ac2-4a27-aa34-b5226fc18a6d,2021-06-09T10:09:04.387Z,2021-06-09T10:25:07.511Z,completed,completed normal,29.58818374,0.785573672,47.74640347,7310.337953,509.7090644,381.4333671,2104,1465.882972,1661976.46,1338,2565775.41,20219420.83,124637.39,9731.048301,26176069.44,20219419.44,1341,763
API Generated 2021-06-09 00:58:20 +0000,80b5ef05-b7f0-4ee1-a4fa-d861a4c2bcff,2021-06-09T01:30:46.545Z,2021-06-09T01:45:30.543Z,completed,completed normal,20.2486514,0.184732248,49.74671642,1773.673816,492.9217973,232.8596773,2157,1499.812632,1760385.11,1341,2661852.41,20435651.39,127392.1,12121.8177,26198755.56,20435650,1393,764
API Generated 2021-06-09 10:09:00 +0000,0bb2267c-a7a8-491a-bf50-0a0249ac4f08,2021-06-09T10:26:03.527Z,2021-06-09T10:41:26.214Z,completed,completed normal,28.76310038,0.86251043,48.41053716,6763.215131,1545.845507,836.0497554,2147,363.2169348,1987910.62,1343,3293648.34,20226635.56,124861.2,1020.400382,26197136.11,20226633.33,1382,765
API Generated 2021-06-09 13:28:30 +0000,370e7e83-fa72-4969-ab7f-639a42e8a3fc,2021-06-09T14:13:15.409Z,2021-06-09T14:27:37.242Z,completed,completed normal,20.19225375,0.968329533,48.85854081,4019.956126,1672.535085,834.8225021,2122,405.0306711,1991138.83,1341,3294992.26,20445397.78,127428.28,1242.040715,26195313.89,20445397.22,1359,763
API Generated 2021-06-09 08:36:33 +0000,23e35c43-f653-4049-9959-d3187d935cb6,2021-06-09T09:23:37.534Z,2021-06-09T09:38:46.411Z,completed,completed normal,26.20190017,0.114952528,41.36650239,538.8631615,422.6496812,216.9376895,2597,1604.472906,1739166.94,2118,2642576.85,20107217.78,121831.8,12535.79251,26229583.33,20107216.67,1830,767
API Generated 2021-06-09 13:42:13 +0000,03cc725c-27d0-473f-ac61-45eae97d65e3,2021-06-09T14:27:37.520Z,2021-06-09T14:41:55.121Z,completed,completed normal,20.19303383,0.701731267,42.62178994,5768.848773,773.0266863,835.1234879,2080,577.7446513,1910821.09,1336,3101674.66,19788731.39,122327.85,2182.224433,26244463.89,19788730.56,1315,765
API Generated 2021-06-09 04:00:55 +0000,30df929f-3873-4551-99f1-14e188c0c4a3,2021-06-09T04:00:57.497Z,2021-06-09T04:17:08.750Z,completed,completed normal,27.0755687,0.626661696,42.94034522,7432.437943,906.0651223,835.4839553,2088,591.2422394,1878726.23,1343,3041820.81,19543506.94,120067.1,2702.504909,26243580.56,19543505.56,1324,764
API Generated 2021-06-09 05:32:13 +0000,b0b3cd75-b7b8-45d3-9592-8b7a30d6f90d,2021-06-09T06:31:57.700Z,2021-06-09T06:45:57.189Z,completed,completed normal,24.16668875,0.736665512,40.31252226,5013.620357,1152.467209,276.6828922,2071,1139.945185,1738224.61,1340,2678276.38,19743969.72,122033.54,9138.161885,26251919.44,19743972.22,1306,765
API Generated 2021-06-09 07:21:35 +0000,72d9b639-4b62-4cd6-9f50-03fb489d0eaf,2021-06-09T08:19:13.172Z,2021-06-09T08:33:35.695Z,completed,completed normal,20.17818117,0.503383247,48.60500784,586.3939114,445.7992746,204.2836671,2142,1655.031504,1770708.16,1339,2655184.2,20452070.28,127483.9,13522.53317,26192466.67,20452069.44,1381,761
API Generated 2021-06-08 23:19:42 +0000,42640492-56f3-472b-bba3-efbdfec0385a,2021-06-08T23:37:58.346Z,2021-06-08T23:53:42.352Z,completed,completed normal,27.863337,0.994019316,49.90862889,6248.222312,1613.450674,837.2155751,2161,406.9066425,1973798.48,1342,3268985.26,20235093.89,125148.78,1225.158671,26196722.22,20235091.67,1395,766
API Generated 2021-06-09 02:59:50 +0000,2a017774-5e98-4e58-a9c6-fcc375c1135a,2021-06-09T03:44:07.912Z,2021-06-09T03:58:39.857Z,completed,completed normal,20.14613612,0.233843389,40.75286361,3111.751533,1414.874364,492.1463939,2253,917.1869953,1849857.36,1547,2963164.4,20031773.89,123517.39,5793.196967,26251627.78,20031772.22,1484,769
API Generated 2021-06-09 07:04:46 +0000,12804507-881e-4372-85e0-82a4f4b5ea60,2021-06-09T07:51:39.007Z,2021-06-09T08:06:38.531Z,completed,completed normal,20.02446727,0.936432409,48.94846981,7216.486978,1518.799547,820.2835654,2135,451.5036928,1978077.13,1338,3263255.81,20449771.67,127564.75,1481.989195,26186872.22,20449772.22,1371,764
API Generated 2021-06-09 03:01:10 +0000,5e01e3d2-a48a-49ee-8002-6ca4cbf851b3,2021-06-09T03:46:02.471Z,2021-06-09T04:00:32.354Z,completed,completed normal,20.02209154,0.643872919,40.29888502,5611.959716,1504.357248,213.1052818,2069,1117.482228,1788512.76,1338,2746840.97,19801114.17,122401.4,9149.595113,26251883.33,19801113.89,1304,765
API Generated 2021-06-09 08:36:33 +0000,82b9a2b1-fdf7-468d-8efc-1bb8c4edade3,2021-06-09T09:36:58.398Z,2021-06-09T09:51:34.074Z,completed,completed normal,20.09530948,0.943444304,47.29477699,7508.204819,1225.846948,204.9025263,2090,1210.054593,1757704.63,1343,2695438.6,20472586.67,127493.22,10603.01468,26188183.33,20472586.11,1325,765
API Generated 2021-06-08 23:36:22 +0000,190222d5-6ee7-4218-ad19-2dde06a2bd58,2021-06-09T00:24:40.930Z,2021-06-09T00:39:08.915Z,completed,completed normal,27.63540151,0.65224962,42.05628022,6652.840391,875.7748586,801.2662069,2079,591.823071,1884199.08,1341,3035341.37,19576365,120164.65,2737.268991,26238730.56,19576363.89,1315,764
API Generated 2021-06-09 10:09:00 +0000,ba59f116-af8a-4dc2-a620-de1985f0d7eb,2021-06-09T10:25:08.762Z,2021-06-09T10:40:16.100Z,completed,completed normal,20.98291189,0.149984159,47.27579153,540.6383512,1365.583608,221.9608024,2107,1216.027101,1758791.76,1344,2705613.55,20466837.5,127457.12,10442.43285,26190569.44,20466836.11,1342,765
API Generated 2021-06-09 10:09:00 +0000,7fb2a3dc-5fae-4ead-bdcd-e98df839deb6,2021-06-09T10:24:58.488Z,2021-06-09T10:39:54.472Z,completed,completed normal,20.02357297,0.838571223,48.67488639,7709.80592,1606.799364,835.1949948,2135,425.780071,1988772.1,1342,3285517.56,20457867.5,127504.43,1322.804636,26199222.22,20457869.44,1372,763
API Generated 2021-06-09 10:25:20 +0000,2ec13b42-4817-4a20-9c2c-44fd25221601,2021-06-09T11:10:53.545Z,2021-06-09T11:25:17.000Z,completed,completed normal,27.47579272,0.120516178,40.18254932,7593.383211,1407.227454,821.4227489,2155,554.4724987,1890097.23,1492,3103919.5,19629915.28,119546.29,2171.280086,26246936.11,19629913.89,1389,766
API Generated 2021-06-08 23:19:42 +0000,3ee78d6f-bd7d-4402-8aba-7dfd1454e339,2021-06-08T23:19:46.548Z,2021-06-08T23:37:51.217Z,completed,completed normal,28.57701891,0.718161415,45.92343818,5259.039388,603.1404646,487.7277203,2111,1084.95921,1733059.33,1337,2684582.94,19838346.11,122697.17,6969.01783,26204238.89,19838344.44,1348,763
API Generated 2021-06-08 23:19:42 +0000,3bbc6806-f807-4d8a-ae92-661d93afc83c,2021-06-08T23:53:58.653Z,2021-06-09T00:08:59.862Z,completed,completed normal,29.21675737,0.828667846,40.14771505,4028.504802,922.49783,203.6428049,2072,1263.494634,1748109.23,1342,2658300.92,19790605.56,121664.22,9996.802778,26250377.78,19790605.56,1309,763
API Generated 2021-06-09 05:32:13 +0000,9f56a24d-4dad-44bb-87e2-2268ddbb01cb,2021-06-09T05:48:16.211Z,2021-06-09T06:03:59.513Z,completed,completed normal,20.02308713,0.943247694,40.28240884,4393.278323,1357.118562,218.1943477,2084,1127.343705,1796886.17,1342,2753901.59,19850088.33,122990.85,9432.766493,26247677.78,19850086.11,1323,761
API Generated 2021-06-09 07:20:40 +0000,efdb3da4-6c32-42ad-8058-770267318395,2021-06-09T08:05:31.358Z,2021-06-09T08:20:00.822Z,completed,completed normal,28.64458749,0.12019446,42.57011507,6113.584894,1179.070997,834.8496017,2224,546.278001,1903457.89,1572,3129573.63,19696043.89,119570.78,1843.884627,26238422.22,19696044.44,1463,761
API Generated 2021-06-09 00:58:20 +0000,b079b25c-5014-4abd-a607-0be1e74caf1b,2021-06-09T01:30:06.734Z,2021-06-09T01:44:45.228Z,completed,completed normal,24.32952106,0.181769362,41.2432033,6890.96644,882.063321,237.9381551,2163,1429.184589,1793580.09,1465,2721968.84,19727466.67,120956.97,11198.84808,26247213.89,19727469.44,1399,764
API Generated 2021-06-08 23:19:42 +0000,b4d60d2d-7131-43a5-b414-3bdba2055313,2021-06-09T00:14:56.319Z,2021-06-09T00:29:30.625Z,completed,completed normal,29.46135086,0.700923328,48.25643532,6797.360087,693.1401109,426.3622037,2123,1250.517466,1744501.53,1341,2702463.88,20220641.67,124702.07,9174.377749,26182780.56,20220641.67,1357,766
API Generated 2021-06-09 11:40:43 +0000,f0bf20f0-02fb-4663-92ea-354f9d51e66f,2021-06-09T11:40:48.180Z,2021-06-09T11:57:21.862Z,completed,completed normal,29.50184964,0.680770668,49.47398604,7573.547722,423.5458978,531.1804911,2147,1279.236788,1673489.34,1343,2633245.46,20189526.94,124501.98,7393.394622,26204905.56,20189525,1383,764
API Generated 2021-06-09 04:00:55 +0000,9b663210-9157-45d8-a247-b8f4d2f24375,2021-06-09T04:01:00.030Z,2021-06-09T04:17:30.398Z,completed,completed normal,29.58818374,0.776208081,48.04864006,7570.739581,479.6150281,487.2176149,2110,1363.424422,1652261.65,1341,2585169.41,20211843.61,124618.74,8181.520075,26190805.56,20211841.67,1346,764
API Generated 2021-06-09 07:04:46 +0000,ab67c8f5-f626-422a-9c61-6bacd8d83a5f,2021-06-09T07:50:24.138Z,2021-06-09T08:05:31.224Z,completed,completed normal,27.6230003,0.669401507,40.43757285,7432.437943,433.4663099,323.6817762,2079,1283.226409,1756393.86,1342,2656303.67,19568485.28,119930.97,9818.629403,26247594.44,19568483.33,1312,767
API Generated 2021-06-08 23:19:42 +0000,dd590aae-1e62-4774-b451-23b8b658a024,2021-06-08T23:38:12.850Z,2021-06-08T23:53:43.458Z,completed,completed normal,27.08183183,0.886809897,44.2255903,1051.548853,1647.983769,308.7087927,2106,992.9146794,1787206.09,1338,2799512.1,19895541.11,123794.55,7855.967062,26227458.33,19895538.89,1341,765
API Generated 2021-06-09 05:32:13 +0000,aa9c608a-a9cf-4097-b631-ba653e4149d4,2021-06-09T05:32:14.249Z,2021-06-09T05:49:06.818Z,completed,completed normal,20.02290352,0.98565107,48.14468605,942.2906858,1538.036261,260.2156467,2115,1122.953778,1765384.1,1342,2731585.24,20455461.94,127490.04,9552.784672,26188380.56,20455461.11,1351,764
API Generated 2021-06-08 23:19:42 +0000,2a71dec8-d282-4b22-b460-f3831a615dd1,2021-06-08T23:19:42.407Z,2021-06-08T23:35:35.050Z,completed,completed normal,28.00191832,0.214307657,41.02273838,6544.973006,829.0290828,834.971719,2171,656.5652312,1890815.66,1446,3076163.23,19649296.39,120060.01,3078.935797,26246447.22,19649294.44,1407,764
API Generated 2021-06-09 08:36:33 +0000,fa5c379a-6652-467e-8aa1-7764ef583cd3,2021-06-09T09:37:24.602Z,2021-06-09T09:51:53.768Z,completed,completed normal,21.3987006,0.778736712,40.31997004,5412.702785,1514.52007,234.0327828,2101,1121.776621,1778826.42,1338,2738914.92,19793893.89,122378.65,9001.108729,26247683.33,19793894.44,1335,766
API Generated 2021-06-09 07:04:45 +0000,1ecb7498-de0a-42a1-b36c-e24810e4573f,2021-06-09T07:04:47.065Z,2021-06-09T07:20:46.819Z,completed,completed normal,20.02251079,0.919029913,48.4898182,7166.835901,1640.019412,825.5798391,2132,428.1342203,1993363.13,1337,3292813.34,20457826.11,127553.54,1318.146659,26186086.11,20457825,1365,767
API Generated 2021-06-09 00:58:20 +0000,9098c201-3f1a-4c1c-a91f-6de9d2fb6c4e,2021-06-09T01:45:30.681Z,2021-06-09T01:59:48.553Z,completed,completed normal,21.45885754,0.801350042,48.08078818,984.5340233,862.7927977,695.749924,2104,816.9420515,1880158.5,1343,3042446.17,20433646.94,127259.8,3151.512842,26184311.11,20433644.44,1340,764
API Generated 2021-06-09 05:32:13 +0000,54825b5b-067f-4903-a1f2-ad1fa3aa868e,2021-06-09T05:32:16.571Z,2021-06-09T05:48:12.832Z,completed,completed normal,24.04740979,0.920403232,40.26154982,6377.344379,624.4337879,314.3120232,2094,1132.198095,1769899.71,1341,2697861.83,19693175.56,121403.71,9242.497303,26242727.78,19693177.78,1331,763
API Generated 2021-06-09 07:04:46 +0000,54c4f97b-7797-474c-a0de-bad550dda4e7,2021-06-09T07:36:25.651Z,2021-06-09T07:51:21.818Z,completed,completed normal,20.36172795,0.852191526,49.0553835,6483.515505,442.9104674,205.4620278,2145,1676.758124,1764815.9,1341,2646344.34,20446975.28,127465.76,13602.39496,26190561.11,20446975,1383,762
API Generated 2021-06-09 00:58:20 +0000,e7e0c597-47b4-4403-8ed0-ad4f1e80b67e,2021-06-09T00:58:23.659Z,2021-06-09T01:14:23.902Z,completed,completed normal,20.32332683,0.334241123,48.35233365,739.5954137,510.922493,288.4920563,2127,1501.98241,1752638.79,1340,2662529.54,20449012.22,127436.21,11308.1619,26178825,20449013.89,1361,766
API Generated 2021-06-09 01:30:18 +0000,7adb2cbe-fc4a-49ab-bca7-ca24f7eb17fa,2021-06-09T02:14:23.756Z,2021-06-09T02:29:20.891Z,completed,completed normal,20.47842309,0.167901435,46.72300421,2245.349858,1126.782688,396.3642996,2326,1094.626861,1828271.69,1713,2870222.5,20269838.61,124948.66,8142.718446,26210388.89,20269836.11,1562,764
API Generated 2021-06-09 08:36:33 +0000,651d8563-1599-483f-8537-704a5492a2fa,2021-06-09T08:52:36.780Z,2021-06-09T09:07:30.738Z,completed,completed normal,29.58818374,0.769036775,48.25673984,7337.976781,534.9095632,487.2176149,2126,1245.52205,1703910.61,1344,2682769.48,20211400,124621.88,7085.966198,26187500,20211397.22,1361,765
API Generated 2021-06-08 23:53:51 +0000,9f8520ec-a464-4b38-a30c-b330dad03316,2021-06-09T00:44:03.175Z,2021-06-09T00:58:09.603Z,completed,completed normal,20.93763329,0.274076487,47.31803509,1924.019902,1165.081039,378.6774095,2105,1050.809771,1775859.7,1343,2776108.48,20465193.61,127357.05,7744.967166,26184588.89,20465191.67,1339,766
API Generated 2021-06-08 23:35:41 +0000,fc07321d-55e5-4927-8080-76aea5b21be1,2021-06-09T00:23:18.471Z,2021-06-09T00:37:37.866Z,completed,completed normal,21.98447251,0.319212813,41.08342628,3787.044836,971.8310633,639.7634307,2156,741.6508198,1896429.16,1405,3077541.39,19886563.89,122898.35,3687.096306,26251333.33,19886561.11,1392,764
API Generated 2021-06-09 02:29:27 +0000,6dd3e94d-b246-4f5c-80ec-9517ba9ad834,2021-06-09T02:45:28.469Z,2021-06-09T03:00:45.491Z,completed,completed normal,26.82996239,0.486482036,48.48853983,6810.650915,580.797149,260.7133638,2132,1504.415756,1742459.35,1336,2645339.01,20282655.56,125484.77,11868.50962,26193516.67,20282655.56,1367,765
API Generated 2021-06-09 09:08:21 +0000,5475854e-1eba-4bc7-bdca-1981696aff58,2021-06-09T09:53:20.514Z,2021-06-09T10:07:47.310Z,completed,completed normal,25.20822039,0.886368552,49.48862242,5668.500284,1656.828607,805.1074527,2124,390.7384019,1990807.19,1339,3291520.42,20329788.61,126135.16,1133.47127,26207063.89,20329786.11,1360,764
API Generated 2021-06-09 12:11:46 +0000,c92ecaa4-257f-4954-8b39-e9650f7d06f1,2021-06-09T12:56:40.426Z,2021-06-09T13:11:48.316Z,completed,completed normal,29.55645722,0.936919434,49.13721297,904.8669558,1656.201376,837.2155751,2153,334.3677755,1985800.46,1344,3286052.23,20196691.11,124587.38,1001.955222,26192427.78,20196688.89,1388,765
API Generated 2021-06-09 13:12:45 +0000,e060c32f-cf20-4116-8d6d-da1475816750,2021-06-09T13:12:46.332Z,2021-06-09T13:27:43.060Z,completed,completed normal,20.31779145,0.99256458,40.26154982,3336.249743,1038.443763,247.307746,2101,1144.167823,1785996.81,1335,2746096.89,19927119.44,123733.54,9589.661556,26245761.11,19927116.67,1337,764
API Generated 2021-06-08 21:41:53 +0000,669b057c-675d-48f6-9071-3d5ddae77026,2021-06-08T22:13:06.066Z,2021-06-08T22:28:06.560Z,completed,completed normal,22.96508911,0.786968059,48.10224185,2314.175231,1055.967249,793.0652905,2121,510.623628,1959949.72,1340,3204537.56,20410543.06,126881.6,1922.320722,26188333.33,20410541.67,1358,763
API Generated 2021-06-08 21:41:53 +0000,c391c929-be6f-4983-b6d1-67521d81479f,2021-06-08T22:43:19.676Z,2021-06-08T22:58:34.816Z,completed,completed normal,25.10529088,0.207116042,42.03560432,673.4331885,601.0500891,588.4824624,2376,1220.800211,1721492.55,1753,2748343.13,20165694.44,124048.97,7044.654794,26223322.22,20165697.22,1611,765
