name,_id,run_start_time,run_end_time,status,status_message,chg_sp,chiller_limit,loop_sp,storage_capacity,year_one_energy_supplied_kw,year_one_energy_supplied_kwh,water_qbft,distributed_generation_total_solar_pv_kw,electricity_kwh,year_one_energy_cost_us_dollars,comfort_result_time_setpoint_not_met_during_occupied_cooling,comfort_result_hours_out_of_comfort_bounds_PMV,year_one_demand_cost_us_dollars,size_kw,year_one_energy_supplied_kwh,electricity_produced_kwh,natural_gas_kwh,year_one_bill_us_dollars,size_kwh
API Generated 2021-06-16 16:35:53 +0000,1a43ea6c-3036-433d-8e9c-a726048df49a,2021-06-16T16:52:13.117Z,2021-06-16T17:09:19.700Z,completed,completed normal,25.75863459,0.308677532,47.03068992,38933.62349,635.2860697,233.6527013,125926.19,2785.6029,20326794.44,1811479.84,1324,1341,920329.7,1476.063966,17535920.71,20326796.67,26202447.22,2739009.55,12168.19401
API Generated 2021-06-16 13:19:44 +0000,3730c189-7b1b-44de-a639-f3e504261b90,2021-06-16T14:06:41.149Z,2021-06-16T14:21:15.778Z,completed,completed normal,20.07355682,0.959723147,49.17782964,22348.76784,1193.243703,757.5099099,127476.51,1827.5448,20447636.11,1977203.19,1363,1337,1246222.75,525.2743101,18284018.15,20447636.11,26200002.78,3230625.94,1984.4146
API Generated 2021-06-16 04:21:40 +0000,5a02efc7-9051-422f-abf7-bc15dfc3ebbb,2021-06-16T05:07:04.773Z,2021-06-16T05:21:51.994Z,completed,completed normal,24.02744103,0.994526619,49.89815292,29468.56987,1629.448482,837.2155751,126598.44,1581.8613,20363316.67,2001348.95,1372,1337,1308168.63,368.490038,18392108.54,20363314.17,26192219.44,3316717.58,995.1723457
API Generated 2021-06-16 10:14:08 +0000,b4fdd0d3-ae36-401a-8a26-f0a7a32db2f7,2021-06-16T10:14:13.003Z,2021-06-16T10:29:50.171Z,completed,completed normal,20.10880432,0.233185695,40.29861144,23828.29258,423.5355832,205.6208355,120612.82,1768.289,19643411.11,1806141.16,1299,1338,820686.75,1710.792949,17746128.22,19643408.61,26253822.22,2634027.91,12672.03595
API Generated 2021-06-16 13:19:44 +0000,a3508f51-968b-4466-a7be-2f54f8e48ac9,2021-06-16T13:50:39.859Z,2021-06-16T14:05:37.506Z,completed,completed normal,25.51620743,0.716397589,49.63911059,38961.37402,1669.862783,837.0080245,126210.99,1581.8613,20318938.89,1996810.06,1363,1340,1304358.77,366.0309376,18348862.21,20318940.83,26203780.56,3308368.84,1052.06146
API Generated 2021-06-16 02:55:43 +0000,a3cfe9a8-3a5c-4e37-a7e3-3203c6c484be,2021-06-16T03:40:25.751Z,2021-06-16T03:55:19.160Z,completed,completed normal,21.03806879,0.563088723,49.87050356,11807.74016,497.6778542,391.8959517,127297.14,3692.0615,20432108.33,1741003.84,1345,1341,930260.06,1427.886606,16808255.15,20432109.17,26185125,2678463.9,9359.287488
API Generated 2021-06-16 01:23:30 +0000,659e59b3-6a1a-430f-afd4-4a2057e278c9,2021-06-16T02:08:41.804Z,2021-06-16T02:22:57.535Z,completed,completed normal,28.22367255,0.536629539,47.15571633,19108.76077,619.4690865,416.5376219,124962.58,3435.6976,20246302.78,1750974.27,1325,1339,951441.19,1342.741921,16847206.16,20246304.72,26195786.11,2709615.47,8968.114188
API Generated 2021-06-16 16:55:33 +0000,b9087180-5a60-4309-9f40-9e06263cd152,2021-06-16T17:44:50.755Z,2021-06-16T17:59:23.094Z,completed,completed normal,25.57169487,0.962829752,41.20493769,31373.93439,1616.603241,778.4353673,119535.46,1581.8613,19509841.67,1867095.17,1301,1341,1121431.66,534.1373284,17569257.86,19509843.06,26237752.78,2995726.84,2036.376979
API Generated 2021-06-16 04:04:09 +0000,c4a2c48b-c9d1-48b3-ab0a-55b92d19fd16,2021-06-16T04:04:12.952Z,2021-06-16T04:20:42.536Z,completed,completed normal,20.37019711,0.657449874,49.3223482,6645.732792,471.558746,790.1200152,127489.07,2317.8079,20449950,1920007.11,1363,1341,1171980.4,795.4835555,17882333.76,20449952.22,26195097.22,3099187.51,3017.14353
API Generated 2021-06-16 01:22:35 +0000,0491217b-0212-48d9-950b-f2b9736af915,2021-06-16T02:07:53.491Z,2021-06-16T02:23:23.140Z,completed,completed normal,20.23838735,0.734063033,40.60333599,32903.37318,1208.065781,352.6599463,120687.64,1581.8613,19648850,1848640.99,1334,1336,934335.05,1058.357263,17859248.59,19648851.94,26229222.22,2790176.04,7746.230902
API Generated 2021-06-16 07:08:56 +0000,53de882e-e1b4-4d82-9b3b-44a25bf9fb4c,2021-06-16T07:24:37.332Z,2021-06-16T07:39:33.432Z,completed,completed normal,20.24590652,0.295547846,47.84051886,28656.03332,1529.856512,831.3532089,127449.15,1581.8613,20458233.33,2009628.71,1342,1343,1302295.38,383.2368742,18488226.46,20458231.39,26195161.11,3319124.09,1049.582689
API Generated 2021-06-16 16:55:33 +0000,86e4db8a-0575-4da0-83c9-3bca398dfbf1,2021-06-16T17:46:38.938Z,2021-06-16T18:03:13.160Z,completed,completed normal,20.52063891,0.946541489,46.95725454,8837.754326,1414.162999,830.9345508,126942.37,1581.8613,20351433.33,1995727.4,1327,1336,1283396.01,375.7108209,18387205.92,20351435,26203544.44,3286323.41,1297.845007
API Generated 2021-06-16 16:35:53 +0000,cbff89c2-33d5-4c6a-80a8-04351014047a,2021-06-16T16:52:34.646Z,2021-06-16T17:09:27.047Z,completed,completed normal,26.10944692,0.224310738,40.59367478,36922.85788,809.0453511,474.7684872,119372.29,2233.4366,19507536.11,1774812.18,1329,1336,923892.19,1106.098033,17117281.96,19507537.22,26248744.44,2705904.37,6555.064547
API Generated 2021-06-16 04:20:34 +0000,5250fee4-1fab-4f3f-9e5a-7d560b9fd7dd,2021-06-16T05:06:05.128Z,2021-06-16T05:21:32.953Z,completed,completed normal,25.15635652,0.835828818,49.57261073,11476.10942,1632.538192,466.5293379,126159,2413.2893,20330508.33,1894417.19,1393,1337,1161524.08,656.352484,17696689.15,20330507.22,26189458.33,3063141.27,3834.261257
API Generated 2021-06-16 11:46:37 +0000,348e83cb-6365-4d87-8f50-9a66c4ed552a,2021-06-16T12:46:32.927Z,2021-06-16T13:01:02.872Z,completed,completed normal,27.3628033,0.632939038,43.71372176,33938.5142,438.9594434,423.053687,119615.47,2358.682,19533702.78,1760998.31,1329,1343,896053.11,1170.924277,17063192,19533701.11,26208019.44,2664251.43,7874.428881
API Generated 2021-06-16 11:46:36 +0000,74c28be9-4b83-4bc3-aa10-e2f21396d701,2021-06-16T11:46:38.554Z,2021-06-16T12:02:13.287Z,completed,completed normal,25.31596887,0.656209319,40.49425865,17655.01559,1404.063684,493.9041066,119412.53,1767.6302,19507469.44,1830781.03,1310,1343,1004121.79,908.454913,17482113.31,19507470.56,26235633.33,2842102.82,4988.069554
API Generated 2021-06-16 02:23:50 +0000,32836736-75cd-4c7d-aa47-c2d4e5d055c1,2021-06-16T03:11:44.751Z,2021-06-16T03:27:09.880Z,completed,completed normal,21.81689157,0.272789207,48.80695668,23849.09334,695.4702062,703.2135788,127252.67,2567.8881,20428986.11,1890237.45,1366,1339,1154477.06,840.2474798,17649152.07,20428988.33,26190294.44,3051914.51,3334.216017
API Generated 2021-06-16 14:57:38 +0000,ff78dd2f-ed8e-4fa2-99b1-9e7947789c4b,2021-06-16T15:29:50.600Z,2021-06-16T15:45:42.482Z,completed,completed normal,20.15313516,0.157207958,49.58400933,5509.731237,1662.772235,454.7522359,127451.8,2486.5227,20440269.44,1895986.29,1367,1339,1152785.37,667.4619911,17746552.84,20440270.28,26210208.33,3055971.66,4005.141812
API Generated 2021-06-16 02:23:50 +0000,d81c2af8-f669-4ec0-9cfa-5d26616bb9d4,2021-06-16T02:40:12.915Z,2021-06-16T02:55:00.820Z,completed,completed normal,26.0248091,0.925927082,43.27429367,17604.34169,1169.524442,726.1514329,119572.6,1581.8613,19527866.67,1867054.9,1333,1341,1096612.85,621.8630348,17604021.94,19527869.44,26238483.33,2970867.76,2692.582546
