name,_id,run_start_time,run_end_time,status,status_message,chg_sp,chiller_limit,chiller_resize_factor,loop_sp,storage_capacity,installed_cost_us_dollars_per_kw,installed_cost_us_dollars_per_kwh,electricity_kwh,size_kw,size_kwh,comfort_result_time_setpoint_not_met_during_occupied_heating,year_one_bill_us_dollars,water_qbft,electricity_produced_kwh,natural_gas_kwh,comfort_result_time_setpoint_not_met_during_occupied_cooling,year_one_energy_cost_us_dollars,comfort_result_time_setpoint_not_met_during_occupied_hours,comfort_result_hours_out_of_comfort_bounds_PMV
API Generated 2021-05-30 08:07:20 +0000,d642713a-f490-4829-941b-ad0337c167b9,2021-05-30T08:38:41.177Z,2021-05-30T08:53:37.104Z,completed,completed normal,23.56032288,0.826925015,2.974342964,48.42774649,5413.86859,1210.556004,456.8448025,24705447.22,327.9057468,528.7337348,763,3843811.62,142952.38,24705450,26184458.33,1366,2926684.52,2129,1341
API Generated 2021-05-30 02:57:06 +0000,18487363-89a0-449e-8832-d5dc33f97cf1,2021-05-30T03:28:53.104Z,2021-05-30T03:43:54.871Z,completed,completed normal,29.28750276,0.856969243,2.56650269,49.74863019,7075.709616,435.4091473,454.8363691,23410163.89,831.2545743,2436.691579,765,3396060.19,133761,23410165.28,26194569.44,1371,2666634.14,2136,1341
API Generated 2021-05-30 05:32:57 +0000,6595f769-bcd9-4a4a-8ecb-e5e53d263358,2021-05-30T05:32:57.848Z,2021-05-30T05:48:57.388Z,completed,completed normal,24.66369878,0.635541688,3.384821325,48.36761728,5597.938982,1245.519081,573.6039729,25333183.33,348.6290282,542.7722458,761,3956550.54,143896.63,25333184.44,26189313.89,1399,3004515.95,2160,1337
API Generated 2021-05-30 04:14:46 +0000,eb031430-7395-4d19-88e7-cc034e7a83a5,2021-05-30T04:31:56.835Z,2021-05-30T04:47:29.466Z,completed,completed normal,23.48906403,0.284761118,1.664987824,49.81490402,3555.509537,990.5910164,672.5601446,22020219.44,195.7786091,258.1675842,765,3315084,132816.36,22020218.89,26205433.33,1378,2598663.13,2143,1337
API Generated 2021-05-30 05:32:57 +0000,751af9ad-875d-4e29-96de-3288bc7425e8,2021-05-30T05:33:01.897Z,2021-05-30T05:48:50.843Z,completed,completed normal,25.42475429,0.746103829,1.790316923,45.40547345,6059.168922,1020.889743,796.3639773,21057902.78,266.6414665,351.6123828,765,3262853.79,126317.21,21057904.44,26207116.67,1341,2529054.11,2106,1340
API Generated 2021-05-30 06:50:13 +0000,4ee476f0-394a-47e8-9332-7dd0ec8ca026,2021-05-30T06:50:14.631Z,2021-05-30T07:06:39.750Z,completed,completed normal,27.36957509,0.636356464,3.342371714,48.97717259,7895.060309,799.6980478,222.6660615,24915788.89,1246.181644,4920.705115,764,3475900.04,139726.49,24915786.11,26201422.22,1347,2735797.5,2111,1334
API Generated 2021-05-30 05:48:57 +0000,c44a868c-cd51-4154-876f-3a34d58693c1,2021-05-30T06:32:56.703Z,2021-05-30T06:47:31.102Z,completed,completed normal,22.58769376,0.576971925,1.039226231,47.29075399,7415.6021,1257.660737,781.4130353,20543708.33,95.353863,125.7403787,766,3096088.7,127453.72,20543709.44,26197986.11,1343,2435636.01,2109,1344
API Generated 2021-05-30 09:24:11 +0000,bee8316b-a507-4638-92fa-37643acef8f3,2021-05-30T09:40:14.161Z,2021-05-30T09:55:51.452Z,completed,completed normal,29.05147636,0.829909235,3.345436124,49.11768457,2817.118574,1484.218193,820.7007522,24721011.11,141.9816129,187.2270427,764,3872501.07,136998.09,24721011.67,26194275,1357,2950322.18,2121,1343
API Generated 2021-05-30 05:32:57 +0000,0d840cef-2d29-4d16-a3df-735c62bf4ab0,2021-05-30T06:04:14.588Z,2021-05-30T06:19:20.554Z,completed,completed normal,22.28286923,0.416567805,3.249448926,49.70003184,3978.717398,521.2650563,431.1125536,25232711.11,1646.930809,2171.759981,763,3754754.35,146133.15,25232711.11,26195388.89,1353,2977229.78,2116,1340
API Generated 2021-05-30 01:38:05 +0000,0f30d61d-56e1-419a-b64d-51d4eedb2018,2021-05-30T02:22:30.395Z,2021-05-30T02:37:09.601Z,completed,completed normal,29.85368776,0.267960408,1.664987824,49.81490402,3673.188108,1446.427819,616.8093566,21669475,55.80661169,73.59056329,765,3286539.98,128727.13,21669476.11,26192880.56,1376,2549900.61,2141,1345
